task_id,table,dataset,horizon,model,seed,seq_len,status,mse,mae,paper_mse,paper_mae,delta_mse,delta_mae,final_batch_size,metric_space,parameters,train_time_s_per_batch,inference_time_s_per_batch,max_gpu_memory_mb,train_gpu_memory_mb,inference_gpu_memory_mb,macs,command_hash,requested_command_hash,config_hash,requested_config_hash,result_file,note
main_compat_ETTm2_H192_PatchTST_s2021,main_compat,ETTm2,192,PatchTST,2021,,completed,,,,,,,128,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,889102aaa789943e,889102aaa789943e,85c8b6deb1871945,85c8b6deb1871945,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H192_PatchTST_s2021/test_report.1778772078.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4667.csv,
main_compat_ETTm2_H192_TimeMixer_s2021,main_compat,ETTm2,192,TimeMixer,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,7484834f08011f4c,7484834f08011f4c,13f7f850be5f2ec9,13f7f850be5f2ec9,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H192_TimeMixer_s2021/test_report.1778773377.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4789.csv,
main_compat_ETTm2_H192_TimesNet_s2021,main_compat,ETTm2,192,TimesNet,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,915a384ca26d0de5,915a384ca26d0de5,e21e4b6e7b76abfd,e21e4b6e7b76abfd,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H192_TimesNet_s2021/test_report.1778773632.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.5468.csv,
main_compat_ETTm2_H192_iTransformer_s2021,main_compat,ETTm2,192,iTransformer,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,d5c96073306839f0,d5c96073306839f0,6a940cec6bd5e2ba,6a940cec6bd5e2ba,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H192_iTransformer_s2021/test_report.1778774315.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.5863.csv,
main_compat_ETTm2_H192_xPatch_s2021,main_compat,ETTm2,192,xPatch,2021,,completed,,,,,,,256,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,80cefccfcdbe912c,80cefccfcdbe912c,fe46d53d5c3ab294,fe46d53d5c3ab294,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H192_xPatch_s2021/test_report.1778774803.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.7322.csv,
main_compat_ETTm2_H336_DLinear_s2021,main_compat,ETTm2,336,DLinear,2021,,completed,,,,,,,8,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,f11996fa2a61a5e1,f11996fa2a61a5e1,e4157f26c1c8fffc,e4157f26c1c8fffc,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H336_DLinear_s2021/test_report.1778771771.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4399.csv,
main_compat_ETTm2_H336_PatchMLP_s2021,main_compat,ETTm2,336,PatchMLP,2021,,completed,,,,,,,32,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,8a203a3f129a250c,8a203a3f129a250c,4133eb928b3362d6,4133eb928b3362d6,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H336_PatchMLP_s2021/test_report.1778772045.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4544.csv,
main_compat_ETTm2_H336_PatchTST_s2021,main_compat,ETTm2,336,PatchTST,2021,,completed,,,,,,,128,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,e5294440ef442ab0,e5294440ef442ab0,fb60437359eaa52b,fb60437359eaa52b,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H336_PatchTST_s2021/test_report.1778772191.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4714.csv,
main_compat_ETTm2_H336_TimeMixer_s2021,main_compat,ETTm2,336,TimeMixer,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,e74a72c01214c315,e74a72c01214c315,ecba71ed92d8d3e8,ecba71ed92d8d3e8,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H336_TimeMixer_s2021/test_report.1778773460.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4855.csv,
main_compat_ETTm2_H336_TimesNet_s2021,main_compat,ETTm2,336,TimesNet,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,84b46891a0cdd027,84b46891a0cdd027,852b8e7d4ff7f2fd,852b8e7d4ff7f2fd,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H336_TimesNet_s2021/test_report.1778774280.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.5561.csv,
main_compat_ETTm2_H336_iTransformer_s2021,main_compat,ETTm2,336,iTransformer,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,3ff4ad2c0c2db31a,3ff4ad2c0c2db31a,fd1bc26cb713fbcf,fd1bc26cb713fbcf,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H336_iTransformer_s2021/test_report.1778774310.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.5883.csv,
main_compat_ETTm2_H336_xPatch_s2021,main_compat,ETTm2,336,xPatch,2021,,completed,,,,,,,256,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,38a9d4d66f0507a3,38a9d4d66f0507a3,9efe688303f15d6b,9efe688303f15d6b,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H336_xPatch_s2021/test_report.1778774805.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.7324.csv,
main_compat_ETTm2_H720_DLinear_s2021,main_compat,ETTm2,720,DLinear,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,d379b8ff77a7483e,d379b8ff77a7483e,39a47d08262d6e33,39a47d08262d6e33,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H720_DLinear_s2021/test_report.1778771753.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4444.csv,
main_compat_ETTm2_H720_PatchMLP_s2021,main_compat,ETTm2,720,PatchMLP,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,0b69c5420b5ace57,0b69c5420b5ace57,ab8eebec558e3bf0,ab8eebec558e3bf0,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H720_PatchMLP_s2021/test_report.1778771940.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4580.csv,
main_compat_ETTm2_H720_PatchTST_s2021,main_compat,ETTm2,720,PatchTST,2021,,completed,,,,,,,128,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,c3ad2994a32e3580,c3ad2994a32e3580,5f5c41288b378760,5f5c41288b378760,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H720_PatchTST_s2021/test_report.1778772235.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4749.csv,
main_compat_ETTm2_H720_TimeMixer_s2021,main_compat,ETTm2,720,TimeMixer,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,0c43417b6a29341b,0c43417b6a29341b,52a28d1854bc606f,52a28d1854bc606f,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H720_TimeMixer_s2021/test_report.1778774065.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4893.csv,
main_compat_ETTm2_H720_TimesNet_s2021,main_compat,ETTm2,720,TimesNet,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,0c129a4d1d26cfd7,0c129a4d1d26cfd7,900ac609d059e5a9,900ac609d059e5a9,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H720_TimesNet_s2021/test_report.1778774220.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.5757.csv,
main_compat_ETTm2_H720_iTransformer_s2021,main_compat,ETTm2,720,iTransformer,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,af0481274a4cc6d5,af0481274a4cc6d5,06c43245163a5322,06c43245163a5322,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H720_iTransformer_s2021/test_report.1778774424.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.5925.csv,
main_compat_ETTm2_H720_xPatch_s2021,main_compat,ETTm2,720,xPatch,2021,,completed,,,,,,,256,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,dba09e168ff9c551,dba09e168ff9c551,c011c90f37993cba,c011c90f37993cba,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H720_xPatch_s2021/test_report.1778774805.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.7325.csv,
