dataset,horizon,seed,model,mse_norm,mae_norm,baseline_mse_norm,delta_mse_vs_srsnet_pct,baseline_mae_norm,delta_mae_vs_srsnet_pct
ETTm2,720,2022,SRSNet_RandomSPNoShuffle,0.2684,0.3435,0.2631,+2.00,0.3436,-0.03
ETTm2,720,2023,SRSNet_RandomSPNoShuffle,0.2724,0.3473,0.2702,+0.81,0.3494,-0.61
ETTm2,720,2024,SRSNet_RandomSPNoShuffle,0.2700,0.3449,0.2780,-2.91,0.3544,-2.67
ETTm2,720,2025,SRSNet_RandomSPNoShuffle,0.2695,0.3449,0.2752,-2.06,0.3489,-1.15
ETTh1,96,2021,SRSNet_RandomSP_HypernetAF,0.4361,0.4525,0.4360,+0.03,0.4531,-0.11
ETTh1,96,2022,SRSNet_RandomSP_HypernetAF,0.4363,0.4523,0.4359,+0.08,0.4523,+0.01
ETTh1,96,2023,SRSNet_RandomSP_HypernetAF,0.4361,0.4525,0.4364,-0.07,0.4534,-0.20
ETTh1,96,2024,SRSNet_RandomSP_HypernetAF,0.4361,0.4520,0.4365,-0.09,0.4535,-0.34
ETTh1,96,2025,SRSNet_RandomSP_HypernetAF,0.4360,0.4521,0.4350,+0.24,0.4531,-0.22
ETTh1,720,2021,SRSNet_RandomSP_HypernetAF,0.6546,0.5996,0.6577,-0.47,0.6025,-0.48
ETTh1,720,2022,SRSNet_RandomSP_HypernetAF,0.6523,0.5987,0.6621,-1.49,0.6065,-1.29
ETTh1,720,2023,SRSNet_RandomSP_HypernetAF,0.6608,0.6041,0.6582,+0.40,0.6033,+0.13
ETTh1,720,2024,SRSNet_RandomSP_HypernetAF,0.6528,0.5984,0.6643,-1.73,0.6065,-1.35
ETTh1,720,2025,SRSNet_RandomSP_HypernetAF,0.6527,0.5990,0.6598,-1.08,0.6039,-0.82
ETTm2,96,2021,SRSNet_RandomSP_HypernetAF,0.1481,0.2520,0.1464,+1.12,0.2515,+0.24
ETTm2,96,2022,SRSNet_RandomSP_HypernetAF,0.1482,0.2521,0.1483,-0.08,0.2525,-0.15
ETTm2,96,2023,SRSNet_RandomSP_HypernetAF,0.1482,0.2522,0.1477,+0.31,0.2530,-0.31
ETTm2,96,2024,SRSNet_RandomSP_HypernetAF,0.1483,0.2527,0.1487,-0.24,0.2538,-0.44
ETTm2,96,2025,SRSNet_RandomSP_HypernetAF,0.1478,0.2522,0.1494,-1.12,0.2539,-0.69
ETTm2,720,2021,SRSNet_RandomSP_HypernetAF,0.2751,0.3494,0.2673,+2.91,0.3441,+1.55
ETTm2,720,2022,SRSNet_RandomSP_HypernetAF,0.2735,0.3471,0.2631,+3.96,0.3436,+1.02
ETTm2,720,2023,SRSNet_RandomSP_HypernetAF,0.2676,0.3424,0.2702,-0.97,0.3494,-2.02
ETTm2,720,2024,SRSNet_RandomSP_HypernetAF,0.2676,0.3429,0.2780,-3.75,0.3544,-3.23
ETTm2,720,2025,SRSNet_RandomSP_HypernetAF,0.2696,0.3448,0.2752,-2.04,0.3489,-1.19
