dataset,horizon,seed,variant,mse_norm,mae_norm
ETTm1,96,2023,SRSNet_HypernetAF,0.3189097397897045,0.369472284001522
ETTm1,96,2024,SRSNet_HypernetAF,0.3192658615498562,0.3699544484156743
ETTm1,96,2025,SRSNet_HypernetAF,0.3202723228276428,0.3702840473276476
ETTm1,96,2021,SRSNet_RandomSP,0.3208984689766413,0.3702032472139859
ETTm1,96,2022,SRSNet_RandomSP,0.3207751798032633,0.3699691527739757
ETTm1,96,2023,SRSNet_RandomSP,0.3206072153842847,0.3697537845607314
ETTm1,96,2024,SRSNet_RandomSP,0.321630368929991,0.3706233569062481
ETTm1,96,2025,SRSNet_RandomSP,0.3207671007356543,0.3703776802392221
ETTm1,96,2021,SRSNet_RandomSPNoShuffle,0.3211533481021827,0.3703048833267227
ETTm1,96,2022,SRSNet_RandomSPNoShuffle,0.3213250589852658,0.3707335495119205
ETTm1,96,2023,SRSNet_RandomSPNoShuffle,0.3212253968107624,0.3707465132419316
ETTm1,96,2024,SRSNet_RandomSPNoShuffle,0.3221453720391272,0.3711481940207331
ETTm1,96,2025,SRSNet_RandomSPNoShuffle,0.3214329734413105,0.3707355282913921
ETTm1,96,2021,SRSNet_TASP,0.3197507496750438,0.3700019803014513
ETTm1,96,2022,SRSNet_TASP,0.318285705694374,0.3686385934571459
ETTm1,96,2023,SRSNet_TASP,0.3196181211339532,0.3704306472072556
ETTm1,96,2024,SRSNet_TASP,0.3208021420372445,0.3713467123062723
ETTm1,96,2025,SRSNet_TASP,0.32285625782682,0.3720762622270876
ETTm1,192,2021,SRSNet,0.3671159236535738,0.4044369531551119
ETTm1,192,2022,SRSNet,0.3689550423486112,0.4046313566285692
ETTm1,192,2023,SRSNet,0.3703242501753532,0.4065963511491017
ETTm1,192,2024,SRSNet,0.3695478281746332,0.4054990964146525
ETTm1,192,2025,SRSNet,0.3675861983690158,0.4054026945608319
ETTm1,192,2021,SRSNet_HypernetAF,0.3751400982027442,0.4065313549099666
ETTm1,192,2022,SRSNet_HypernetAF,0.3754118321437903,0.4082532766218396
ETTm1,192,2023,SRSNet_HypernetAF,0.3736091285050602,0.4057891740613868
ETTm1,192,2024,SRSNet_HypernetAF,0.3734661730560353,0.4058622439964945
ETTm1,192,2025,SRSNet_HypernetAF,0.3720701366635486,0.4037699588520186
ETTm1,192,2021,SRSNet_RandomSP,0.3770965001429617,0.4064756665517772
ETTm1,192,2022,SRSNet_RandomSP,0.3764076555688085,0.4059713907863603
ETTm1,192,2023,SRSNet_RandomSP,0.3771033751420036,0.4066334734907173
ETTm1,192,2024,SRSNet_RandomSP,0.3775671935670545,0.4065039768286197
ETTm1,192,2025,SRSNet_RandomSP,0.3765904788202345,0.4056870316305357
ETTm1,192,2021,SRSNet_RandomSPNoShuffle,0.3770510116274996,0.4064301619673839
ETTm1,192,2022,SRSNet_RandomSPNoShuffle,0.3764979785236378,0.40603740836539
ETTm1,192,2023,SRSNet_RandomSPNoShuffle,0.3775154246820842,0.4066909243079067
ETTm1,192,2024,SRSNet_RandomSPNoShuffle,0.3777495864028061,0.4065209133900068
ETTm1,192,2025,SRSNet_RandomSPNoShuffle,0.3774448478429813,0.4062746980598762
ETTm1,192,2021,SRSNet_TASP,0.3764133991989596,0.4079320178409097
ETTm1,192,2022,SRSNet_TASP,0.3780774073990209,0.4079633083015466
ETTm1,192,2023,SRSNet_TASP,0.3746016386478865,0.4065443599480702
ETTm1,192,2024,SRSNet_TASP,0.3780707902969572,0.4089293583614598
