task_id,table,dataset,horizon,model,seed,seq_len,status,mse,mae,paper_mse,paper_mae,delta_mse,delta_mae,final_batch_size,metric_space,parameters,train_time_s_per_batch,inference_time_s_per_batch,max_gpu_memory_mb,train_gpu_memory_mb,inference_gpu_memory_mb,macs,command_hash,requested_command_hash,config_hash,requested_config_hash,result_file,note
table2_srsnet_ETTh2_H192_SRSNet_s2021,table2_srsnet,ETTh2,192,SRSNet,2021,,completed,,,0.335,0.379,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,f15c367b329a2886,f15c367b329a2886,9166215461adf699,9166215461adf699,/home/ubuntu/SRSNet/result/repro/lite-paper/table2_srsnet/table2_srsnet_ETTh2_H192_SRSNet_s2021/test_report.1778738955.4e2bb402-a76f-432c-8ae1-e63613e38412-7dd7fd5db6-zgn69.203725.csv,
table2_srsnet_ETTh2_H336_SRSNet_s2021,table2_srsnet,ETTh2,336,SRSNet,2021,,completed,,,0.323,0.381,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,3c2cf11184d52e5a,3c2cf11184d52e5a,565cc3566310aa44,565cc3566310aa44,/home/ubuntu/SRSNet/result/repro/lite-paper/table2_srsnet/table2_srsnet_ETTh2_H336_SRSNet_s2021/test_report.1778739002.4e2bb402-a76f-432c-8ae1-e63613e38412-7dd7fd5db6-zgn69.203742.csv,
table2_srsnet_ETTh2_H720_SRSNet_s2021,table2_srsnet,ETTh2,720,SRSNet,2021,,completed,,,0.399,0.441,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,2ca023754364bb8f,2ca023754364bb8f,3e333544641d30c2,3e333544641d30c2,/home/ubuntu/SRSNet/result/repro/lite-paper/table2_srsnet/table2_srsnet_ETTh2_H720_SRSNet_s2021/test_report.1778738955.4e2bb402-a76f-432c-8ae1-e63613e38412-7dd7fd5db6-zgn69.203744.csv,
table2_srsnet_ETTm1_H96_SRSNet_s2021,table2_srsnet,ETTm1,96,SRSNet,2021,,completed,,,0.288,0.341,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,d915118812c67ee1,d915118812c67ee1,7ddd70507d636c49,7ddd70507d636c49,/home/ubuntu/SRSNet/result/repro/lite-paper/table2_srsnet/table2_srsnet_ETTm1_H96_SRSNet_s2021/test_report.1778739170.4e2bb402-a76f-432c-8ae1-e63613e38412-7dd7fd5db6-zgn69.203815.csv,
table2_srsnet_ETTm1_H192_SRSNet_s2021,table2_srsnet,ETTm1,192,SRSNet,2021,,completed,,,0.329,0.367,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,7e655917e0f2f0e5,7e655917e0f2f0e5,ac2448a7ae849bc7,ac2448a7ae849bc7,/home/ubuntu/SRSNet/result/repro/lite-paper/table2_srsnet/table2_srsnet_ETTm1_H192_SRSNet_s2021/test_report.1778739218.4e2bb402-a76f-432c-8ae1-e63613e38412-7dd7fd5db6-zgn69.203831.csv,
table2_srsnet_ETTm1_H336_SRSNet_s2021,table2_srsnet,ETTm1,336,SRSNet,2021,,completed,,,0.365,0.387,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,c48a59a1d6435a7d,c48a59a1d6435a7d,e3c0c4a300280a34,e3c0c4a300280a34,/home/ubuntu/SRSNet/result/repro/lite-paper/table2_srsnet/table2_srsnet_ETTm1_H336_SRSNet_s2021/test_report.1778739225.4e2bb402-a76f-432c-8ae1-e63613e38412-7dd7fd5db6-zgn69.203832.csv,
table2_srsnet_ETTm1_H720_SRSNet_s2021,table2_srsnet,ETTm1,720,SRSNet,2021,,completed,,,0.421,0.418,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,d2c678d50419445e,d2c678d50419445e,d0ab6a947786686b,d0ab6a947786686b,/home/ubuntu/SRSNet/result/repro/lite-paper/table2_srsnet/table2_srsnet_ETTm1_H720_SRSNet_s2021/test_report.1778739275.4e2bb402-a76f-432c-8ae1-e63613e38412-7dd7fd5db6-zgn69.203873.csv,
table2_srsnet_ETTm2_H96_SRSNet_s2021,table2_srsnet,ETTm2,96,SRSNet,2021,,completed,,,0.164,0.254,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,3131b38d77e283a9,3131b38d77e283a9,970ed18e6710d6f1,970ed18e6710d6f1,/home/ubuntu/SRSNet/result/repro/lite-paper/table2_srsnet/table2_srsnet_ETTm2_H96_SRSNet_s2021/test_report.1778739661.4e2bb402-a76f-432c-8ae1-e63613e38412-7dd7fd5db6-zgn69.203964.csv,
table2_srsnet_ETTm2_H192_SRSNet_s2021,table2_srsnet,ETTm2,192,SRSNet,2021,,completed,,,0.22,0.291,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,f8c8e2618f7e12e2,f8c8e2618f7e12e2,e45057566330acc7,e45057566330acc7,/home/ubuntu/SRSNet/result/repro/lite-paper/table2_srsnet/table2_srsnet_ETTm2_H192_SRSNet_s2021/test_report.1778739526.4e2bb402-a76f-432c-8ae1-e63613e38412-7dd7fd5db6-zgn69.204002.csv,
table2_srsnet_ETTm2_H336_SRSNet_s2021,table2_srsnet,ETTm2,336,SRSNet,2021,,completed,,,0.273,0.327,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,cae0f5bb30495182,cae0f5bb30495182,ce185088a4501340,ce185088a4501340,/home/ubuntu/SRSNet/result/repro/lite-paper/table2_srsnet/table2_srsnet_ETTm2_H336_SRSNet_s2021/test_report.1778739475.4e2bb402-a76f-432c-8ae1-e63613e38412-7dd7fd5db6-zgn69.204018.csv,
